region,room_name,room_url,collection_id,shop_type
MY,maybellinemy,https://my.shp.ee/mLYd9Av,k19i12jl,本土 (Local)
MY,olzz_beauty,https://my.shp.ee/i9rJPkB,k19l6pau,本土 (Local)
MY,garniermy,https://my.shp.ee/gwxJwDi,k19hxbdc,本土 (Local)
MY,huawei_os,https://my.shp.ee/4mp93nP,k19h1ryu,本土 (Local)
MY,dazzleme.os,https://my.shp.ee/44V8Ci6,,本土 (Local)
MY,361degreesstore,https://my.shp.ee/mrihTPKd,k1a414nc,本土 (Local)
MY,durex.os,https://my.shp.ee/gfDxNbv,,本土 (Local)
MY,shopee_choice_global.my,https://my.shp.ee/STBU81o,k19h1h9j,跨境 (Cross-Border)
TH,361degrees.th,https://th.shp.ee/qfncFeF,k1a6vo6w,跨境 (Cross-Border)
PH,361degrees.ph,https://ph.shp.ee/gUwG9u3,k1a6w4gr,跨境 (Cross-Border)
PH,ankerflagshipstore.ph,https://ph.shp.ee/ohcLKeu,,跨境 (Cross-Border)
PH,antaofficial.ph,https://ph.shp.ee/a2H6ZAA,,跨境 (Cross-Border)
MY,lorealmy,https://my.shp.ee/jby2mJB,k19hxos2,本土 (Local)
SG,测试shopee1,https://sg.shp.ee/GmpXeuf,,API无有效数据
SG,测试2,https://sg.shp.ee/9Buu1yA,,本土 (Local)
MY,dettol.os,https://my.shp.ee/4vprzmF,,本土 (Local)
PH,popmartofficial.ph,https://ph.shp.ee/Z1czPc4,,跨境 (Cross-Border)
SG,popmartofficial.sg,https://sg.shp.ee/fRji6eE,,跨境 (Cross-Border)
MY,lorealprofessionnel.os,https://my.shp.ee/uC25zQh,k1bb6gca,本土 (Local)
MY,popmartofficial.my,https://my.shp.ee/Xstay91,k19h44u3,跨境 (Cross-Border)
ID,gogeous.official,https://id.shp.ee/jsDkuYC,k19wcfkf,本土 (Local)
ID,gejiese,https://id.shp.ee/XcNaaqc,k19wcfpb,本土 (Local)
ID,SANSAN WAWA Official Shop,https://id.shp.ee/sCnLND7,k19iv98i,本土 (Local)
MY,miniso_flagship_store.my,https://my.shp.ee/NDjtdYq,,跨境 (Cross-Border)
PH,xtep_official.ph,https://ph.shp.ee/9xH3QdS,,跨境 (Cross-Border)
TH,shopee_choice_global.th,https://th.shp.ee/EN69Ma9,k1a74f5o,跨境 (Cross-Border)
PH,emeet3pf.ph,https://ph.shp.ee/zw3XLYM,k1ab96k4,跨境 (Cross-Border)
SG,miniso_flagship_store.sg,https://sg.shp.ee/Rvmnbgc,k19cuxss,跨境 (Cross-Border)
MY,3ce_my,https://my.shp.ee/TMujbDJ,k19l6jr8,本土 (Local)
MY,pumamy.os,https://my.shp.ee/iPU8eMs,k19h0vf7,本土 (Local)
MY,reckitt.os,https://my.shp.ee/Yg4hfEC,k16y6938,本土 (Local)
MY,ceravemy.os,https://my.shp.ee/nLcDvfY,k19h3rx5,本土 (Local)
SG,ceravesg.os,https://sg.shp.ee/EkMJZG7,k19h35jy,本土 (Local)
SG,larocheposay.sg,https://sg.shp.ee/BjMBtfG,k19h3tyv,本土 (Local)
MY,natureskey_.my,https://my.shp.ee/XLkPa7X,k19h1qtq,跨境 (Cross-Border)
MY,goojodoqmall.my,https://my.shp.ee/xkJE2v7,k19h481i,跨境 (Cross-Border)
MY,dutchlady.os,https://my.shp.ee/L5Pt4JV,k19bafao,本土 (Local)
MY,frisogold.os,https://my.shp.ee/W4Lwz9B,k1723vuj,本土 (Local)
VN,moody.vn,https://vn.shp.ee/f3XcJk4,k1a2qfu9,跨境 (Cross-Border)
TH,ipopi_official,https://th.shp.ee/rwxMCMpd,k1a5048d,本土 (Local)
TH,emeet3pf.th,https://th.shp.ee/kvRLDZZ,k1a9x5ie,跨境 (Cross-Border)
ID,xexymixindonesia,https://id.shp.ee/BEP5rZp,k19s0rd0,本土 (Local)
ID,puainta.id,https://id.shp.ee/Lsa5Qsf,k19nnbj1,本土 (Local)
ID,goojodoq.store,https://id.shp.ee/HoTrW7j,k19qomwr,本土 (Local)
ID,kavarabed,https://id.shp.ee/BJRGNAw,k19nnb2i,本土 (Local)
ID,mebelasristore,https://id.shp.ee/3NaqRk5,k19nn1ej,本土 (Local)
ID,spacewise,https://id.shp.ee/qBnUcQi,,本土 (Local)
ID,ando.officialshop,https://id.shp.ee/kBPkMqb,k19rwv7t,本土 (Local)
ID,blokees.id,https://id.shp.ee/tsFaBQQ,k19rvqmb,本土 (Local)
ID,popsofa,https://id.shp.ee/jhQkmn3,k19xcpy5,本土 (Local)
ID,akaso_indonesia,https://id.shp.ee/v1Yhk9xC,k1a3p9vl,本土 (Local)
SG,ankerflagshipstore.sg,https://sg.shp.ee/NxSu5bgP,k1a60tog,跨境 (Cross-Border)
MY,larocheposay.my,https://my.shp.ee/MTWYFFf,k1a619ko,本土 (Local)
TH,mumobaby_thailand,https://th.shp.ee/gDm2ErLB,k1a6w9mt,本土 (Local)
TH,maono.th,https://th.shp.ee/Y7tbxZbv,k1a6wlg3,跨境 (Cross-Border)
TH,mistine_cosmetics,https://th.shp.ee/knEBTjXW,k1a6wtua,本土 (Local)
TH,ice_lerskin.th,https://th.shp.ee/hAXkAZbk,k1a7cvie,跨境 (Cross-Border)
TH,natureskey_thailand,https://th.shp.ee/2B5qhSPH,k1a7erun,本土 (Local)
TH,posee_localshop_th,https://th.shp.ee/gjA349QC,k1a7f1fk,本土 (Local)
ID,usmileindonesia,https://id.shp.ee/ZfFLGnAk,k1ap6bew,本土 (Local)
